
	--==[ SPLAT! v1.4.2 Site Analysis Report For: KWGN-TV ]==--

---------------------------------------------------------------------------

Site location: 39.7328 North / 105.2361 West (39° 43' 57" N / 105° 14' 10" W)
Ground elevation: 2207.00 meters AMSL
Antenna height: 122.00 meters AGL / 2329.00 meters AMSL
Antenna height above average terrain: 305.24 meters

Average terrain at 341 degrees azimuth: 2149.30 meters AMSL
Average terrain at 342 degrees azimuth: 2125.12 meters AMSL
Average terrain at 343 degrees azimuth: 2104.86 meters AMSL
Average terrain at 344 degrees azimuth: 2091.52 meters AMSL
Average terrain at 345 degrees azimuth: 2062.23 meters AMSL
Average terrain at 346 degrees azimuth: 2039.66 meters AMSL
Average terrain at 347 degrees azimuth: 2028.54 meters AMSL
Average terrain at 348 degrees azimuth: 2029.56 meters AMSL
Average terrain at 349 degrees azimuth: 1995.53 meters AMSL
Average terrain at 350 degrees azimuth: 1961.33 meters AMSL
Average terrain at 351 degrees azimuth: 1942.28 meters AMSL
Average terrain at 352 degrees azimuth: 1923.06 meters AMSL
Average terrain at 353 degrees azimuth: 1903.87 meters AMSL
Average terrain at 354 degrees azimuth: 1889.54 meters AMSL
Average terrain at 355 degrees azimuth: 1880.18 meters AMSL
Average terrain at 356 degrees azimuth: 1873.04 meters AMSL
Average terrain at 357 degrees azimuth: 1873.31 meters AMSL
Average terrain at 358 degrees azimuth: 1861.99 meters AMSL
Average terrain at 359 degrees azimuth: 1850.79 meters AMSL
Average terrain at 360 degrees azimuth: 1840.56 meters AMSL

---------------------------------------------------------------------------

