
	--==[ SPLAT! v1.4.2 Site Analysis Report For: KQCA ]==--
Average terrain at 250 degrees azimuth: 1.02 meters AMSL
Average terrain at 251 degrees azimuth: 1.00 meters AMSL
Average terrain at 252 degrees azimuth: 1.00 meters AMSL
Average terrain at 253 degrees azimuth: 1.00 meters AMSL
Average terrain at 254 degrees azimuth: 1.00 meters AMSL
Average terrain at 255 degrees azimuth: 1.00 meters AMSL
Average terrain at 256 degrees azimuth: 1.00 meters AMSL
Average terrain at 257 degrees azimuth: 1.00 meters AMSL
Average terrain at 258 degrees azimuth: 1.00 meters AMSL
Average terrain at 259 degrees azimuth: 1.01 meters AMSL
Average terrain at 260 degrees azimuth: 1.01 meters AMSL
Average terrain at 261 degrees azimuth: 1.01 meters AMSL
Average terrain at 262 degrees azimuth: 1.03 meters AMSL
Average terrain at 263 degrees azimuth: 1.01 meters AMSL
Average terrain at 264 degrees azimuth: 0.98 meters AMSL
Average terrain at 265 degrees azimuth: 0.99 meters AMSL
Average terrain at 266 degrees azimuth: 0.99 meters AMSL
Average terrain at 267 degrees azimuth: 0.99 meters AMSL
Average terrain at 268 degrees azimuth: 1.00 meters AMSL
Average terrain at 269 degrees azimuth: 1.01 meters AMSL
Average terrain at 270 degrees azimuth: 1.03 meters AMSL
Average terrain at 271 degrees azimuth: 1.08 meters AMSL
Average terrain at 272 degrees azimuth: 1.06 meters AMSL
Average terrain at 273 degrees azimuth: 1.10 meters AMSL
Average terrain at 274 degrees azimuth: 1.10 meters AMSL
Average terrain at 275 degrees azimuth: 1.08 meters AMSL
Average terrain at 276 degrees azimuth: 1.09 meters AMSL
Average terrain at 277 degrees azimuth: 1.13 meters AMSL
Average terrain at 278 degrees azimuth: 1.11 meters AMSL
Average terrain at 279 degrees azimuth: 1.14 meters AMSL
Average terrain at 280 degrees azimuth: 1.19 meters AMSL
Average terrain at 281 degrees azimuth: 1.17 meters AMSL
Average terrain at 282 degrees azimuth: 1.22 meters AMSL
Average terrain at 283 degrees azimuth: 1.19 meters AMSL
Average terrain at 284 degrees azimuth: 1.18 meters AMSL
Average terrain at 285 degrees azimuth: 1.15 meters AMSL
